0	07180183
1	00391599
2	00610374
3	00663353
4	01063350
5	06798750
6	04360501
7	00881649
8	13541167
9	00729109
10	10082146
11	02782815
12	10004539
13	00765649
14	09913329
15	02419773
16	01412346
17	03570709
18	00704388
19	02558951
20	04216634
21	02169352
22	00604694
23	02560767
24	06338908
25	10794014
26	10458111
27	00695300
28	01120069
29	03918737
30	00604811
31	04638175
32	09179776
33	02522864
34	05574151
35	02102002
36	13794417
37	05430095
38	02376429
39	10466198
40	10032676
41	14481080
42	00277376
43	00290302
44	13905121
45	10000007
46	01156112
47	00990008
48	02711114
49	06418693
50	08358594
51	07388987
52	00756338
53	13773539
54	07361416
55	02208903
56	01077887
57	14562683
58	02788689
59	07170753
60	05501185
61	00352826
62	02459173
63	01548694
64	00608808
65	02129289
66	01767949
67	00661824
68	07207273
69	07991364
70	09625401
71	06748969
72	13265011
73	05058580
74	10633450
75	08108627
76	00059127
77	07362218
78	04645943
79	00795008
80	00082241
81	01846916
82	06313651
83	01687569
84	01264050
85	00244625
86	00715868
87	03126385
88	03841143
89	00316594
90	02713097
91	04004210
92	02994448
93	02609764
94	00874806
95	04635104
96	02189714
97	00427580
98	10308504
99	01588172
100	01556178
101	07193958
102	00205046
103	04606358
104	02937108
105	01778568
106	00371314
107	03419014
108	01818235
109	00535452
110	10314952
111	07251619
112	04754237
113	07286368
114	06711159
115	09816771
116	01952898
117	08374049
118	00199309
119	00731000
120	00483146
121	01061320
122	10379758
123	02297742
124	05790572
125	01504437
126	00956131
127	05269901
128	10517826
129	00876442
130	01668603
131	02019021
132	01447632
133	02541302
134	00163779
135	13903387
136	05166805
137	01635176
138	01068134
139	00726784
140	15180528
141	02463403
142	01358023
143	05084201
144	05906554
145	00479932
146	05389762
147	09758781
148	06678302
149	02642634
150	01343918
151	04783247
152	07521674
153	01127215
154	02372605
155	10507230
156	00642098
157	01907258
158	02610845
159	00525446
160	01010118
161	09966255
162	02581477
163	00564857
164	02389346
165	02518990
166	00657260
167	00075021
168	08681222
169	01531375
170	00151087
171	01821266
172	01818835
173	02137907
174	13859043
175	02476219
176	04357121
177	05981230
178	02707429
179	02767116
180	00589217
181	01976220
182	07423001
183	01644050
184	05773049
185	04717139
186	01012073
187	01626420
188	13558696
189	01740608
190	09184834
191	07305234
192	07133701
193	10756433
194	03122748
195	03614007
196	03319745
197	02982790
198	00206998
199	05770926
200	13423922
201	02963821
202	07452699
203	09780828
204	07212190
205	14562142
206	03679712
207	00031921
208	00031264
209	03488188
210	00921014
211	01996377
212	02611630
213	08565894
214	01045419
215	01425892
216	08419562
217	06730563
218	01762528
219	07527352
220	05601198
221	03714721
222	00363788
223	00261029
224	01688256
225	02008396
226	01458228
227	01007924
228	00404726
229	13329641
230	05563034
231	03659292
232	05296639
233	05726596
234	00699815
235	05209822
236	07560652
237	05083328
238	04956594
239	14497763
240	01886756
241	02661252
242	05795044
243	05780104
244	10677713
245	11669335
246	06749881
247	04451818
248	13366693
249	01484392
250	02387034
251	00820801
252	01990694
253	10509605
254	00850501
255	04639113
256	09260907
257	00923307
258	02733524
259	05689801
260	10804406
261	07950920
262	00618878
263	01067816
264	10718131
265	02679415
266	02158896
267	00678282
268	00347420
269	03274796
270	01347298
271	00102457
272	00906367
273	00714884
274	01744111
275	03525252
276	04161981
277	00383275
278	01995549
279	00235208
